symbol,name,status,delisted_date,last_bar_date,gap_days,has_factor
600705,中航产融,OK,2025-05-27,2025-04-02,55,True
600723,首商股份,OK,2021-10-22,2021-09-15,37,True
600747,退市大控,OK,2019-12-13,2019-12-06,7,True
600766,退市园城,OK,2024-07-03,2024-06-26,7,True
600781,退市辅仁,OK,2023-06-28,2023-06-19,9,True
300372,欣泰退,OK,2017-08-28,2017-08-25,3,True
300282,三盛退,OK,2024-07-18,2024-07-17,1,True
300362,天翔退,OK,2021-08-30,2021-08-27,3,True
000667,ST美置,OK,2023-07-14,2023-05-25,50,True
000673,当代退,OK,2022-07-04,2022-07-01,3,True
000687,华讯退,OK,2022-06-17,2022-06-16,1,True
000693,华泽退,OK,2019-07-09,2019-07-08,1,True
000760,斯太退,OK,2021-07-23,2021-07-22,1,True
000763,锦化退市,OK,2006-01-04,2005-12-14,21,True
000780,ST平能,OK,2022-01-24,2021-12-16,39,True
000806,银河退,OK,2023-07-06,2023-07-05,1,True
000817,辽油退市,OK,2006-01-04,2005-12-14,21,True
000835,长动退,OK,2022-05-23,2022-05-20,3,True
000836,ST富通,OK,2024-08-12,2024-06-17,56,True
000851,*ST高鸿,OK,2025-11-11,2025-09-26,46,True
000861,海印股份,OK,2024-09-18,2024-08-05,44,True
000866,扬子退市,OK,2006-04-21,2006-04-06,15,True
000916,华北高速,OK,2017-12-25,2017-12-04,21,True
000918,*ST嘉凯,OK,2023-07-28,2023-05-31,58,True
000939,凯迪退,OK,2020-12-17,2020-12-16,1,True
000956,中原退市,OK,2006-04-21,2006-04-06,15,True
000971,*ST高升,OK,2024-07-24,2024-06-04,50,True
000976,*ST华铁,OK,2024-08-27,2024-07-25,33,True
000979,中弘退,OK,2018-12-28,2018-12-27,1,True
000982,中银绒业,OK,2024-08-12,2024-06-21,52,True
000996,中期退,OK,2024-06-28,2024-06-27,1,True
002002,ST鸿达,OK,2024-03-18,2024-01-18,60,True
002013,中航机电,OK,2023-03-17,2023-02-07,38,True
002018,华信退,OK,2019-11-01,2019-10-31,1,True
002070,众和退,OK,2019-07-09,2019-07-08,1,True
002071,长城退,OK,2021-05-07,2021-05-06,1,True
002087,新纺退,OK,2024-06-28,2024-06-27,1,True
000666,经纬纺机,OK,2023-10-26,2023-08-31,56,True
000662,天夏退,OK,2021-04-12,2021-04-09,3,True
000627,*ST天茂,OK,2025-09-30,2025-08-13,48,True
000622,恒立退,OK,2025-07-16,2025-07-15,1,True
000018,神城A退,OK,2020-01-07,2020-01-06,1,True
000023,*ST深天,OK,2024-09-02,2024-07-24,40,True
000024,招商地产,OK,2015-12-30,2015-12-07,23,True
000033,新都退,OK,2017-07-07,2017-07-06,1,True
000038,大通退,OK,2023-07-12,2023-07-11,1,True
000040,*ST旭蓝,OK,2025-04-30,2025-03-31,30,True
000046,*ST泛海,OK,2024-02-07,2023-12-27,42,True
000150,*ST宜康,OK,2023-06-09,2023-04-27,43,True
000406,大明退市,OK,2006-04-21,2006-04-06,15,True
000413,ST旭电,OK,2024-10-11,2024-08-14,58,True
000416,*ST民控,OK,2024-06-05,2024-04-24,42,True
000418,小天鹅Ａ,OK,2019-06-21,2019-05-07,45,True
000502,绿景退,OK,2022-06-27,2022-06-24,3,True
000511,烯碳退,OK,2018-07-18,2018-07-17,1,True
002089,新海退,OK,2024-04-18,2024-04-17,1,True
000515,攀渝钛业,OK,2009-05-06,2009-04-23,13,True
000527,美的电器,OK,2013-09-18,2013-08-14,35,True
000540,*ST中天,OK,2023-06-30,2023-05-18,43,True
000562,宏源证券,OK,2015-01-26,2014-12-09,48,True
000569,长城股份,OK,2009-05-06,2009-04-23,13,True
000578,盐湖集团,OK,2011-03-22,2011-02-18,32,True
000584,工智退,OK,2025-07-11,2025-07-10,1,True
000585,东电退,OK,2022-05-24,2022-05-23,1,True
000587,*ST金洲,OK,2023-04-03,2023-02-02,60,True
000594,国恒退,OK,2015-07-13,2015-07-10,3,True
000602,金马退市,OK,2013-08-14,2013-07-18,27,True
000606,顺利退,OK,2023-07-06,2023-07-05,1,True
000611,天首退,OK,2022-06-28,2022-06-27,1,True
000613,东海A退,OK,2022-06-29,2022-06-28,1,True
000618,吉化退市,OK,2006-02-20,2006-02-10,10,True
000522,白云山Ａ,OK,2013-04-26,2013-03-13,44,True
002113,*ST天润,OK,2023-08-11,2023-06-12,60,True
002118,*ST紫鑫,OK,2023-08-04,2023-06-15,50,True
002143,印纪退,OK,2019-11-29,2019-11-28,1,True
002750,龙津退,OK,2025-06-27,2025-06-26,1,True
002751,易尚退,OK,2023-07-13,2023-07-12,1,True
002770,科迪退,OK,2022-06-23,2022-06-22,1,True
002776,*ST柏龙,OK,2024-01-25,2023-12-26,30,True
002781,奇信退,OK,2023-07-05,2023-07-04,1,True
300023,宝德退,OK,2022-06-29,2022-06-28,1,True
300028,金亚退,OK,2020-08-03,2020-07-31,3,True
300038,数知退,OK,2022-06-30,2022-06-29,1,True
300064,金刚退,OK,2022-06-27,2022-06-24,3,True
300089,文化退,OK,2023-07-13,2023-07-12,1,True
300090,盛运退,OK,2020-08-25,2020-08-24,1,True
300104,乐视退,OK,2020-07-21,2020-07-20,1,True
300108,*ST吉药,OK,2025-05-29,2025-04-23,36,True
300117,*ST嘉寓,OK,2025-04-30,2025-03-31,30,True
002740,*ST爱迪,OK,2024-03-04,2024-01-19,45,True
300156,神雾退,OK,2020-08-25,2020-08-24,1,True
300186,大华农,OK,2015-11-02,2015-10-16,17,True
300202,聚龙退,OK,2022-07-04,2022-07-01,3,True
300208,中程退,OK,2025-07-21,2025-07-18,3,True
300216,千山退,OK,2020-09-16,2020-09-15,1,True
300273,和佳退,OK,2023-07-06,2023-07-05,1,True
300280,紫天退,OK,2025-10-14,2025-10-13,1,True
688086,退市紫晶,OK,2023-07-07,2023-06-30,7,True
300297,蓝盾退,OK,2023-07-31,2023-07-28,3,True
300309,吉艾退,OK,2023-05-30,2023-05-29,1,True
300312,邦讯退,OK,2022-07-04,2022-07-01,3,True
300325,德威退,OK,2022-06-28,2022-06-27,1,True
300330,计通退,OK,2023-05-24,2023-05-23,1,True
300336,新文退,OK,2023-07-05,2023-07-04,1,True
300356,光一退,OK,2023-07-13,2023-07-12,1,True
300178,腾邦退,OK,2022-06-22,2022-06-21,1,True
300367,网力退,OK,2022-06-30,2022-06-29,1,True
002711,欧浦退,OK,2021-07-15,2021-07-14,1,True
002684,猛狮退,OK,2022-06-27,2022-06-24,3,True
002147,新光退,OK,2022-06-23,2022-06-22,1,True
002220,天宝退,OK,2020-08-11,2020-08-10,1,True
002260,德奥退,OK,2022-06-17,2022-06-16,1,True
002280,ST联络,OK,2024-08-16,2024-06-26,51,True
002288,*ST超华,OK,2024-08-19,2024-06-26,54,True
002308,*ST威创,OK,2024-09-27,2024-08-22,36,True
002325,*ST洪涛,OK,2024-08-15,2024-06-28,48,True
002336,人乐退,OK,2025-07-04,2025-07-03,1,True
002341,ST新纶,OK,2024-08-23,2024-07-02,52,True
002359,北讯退,OK,2021-07-23,2021-07-22,1,True
002411,必康退,OK,2023-07-12,2023-07-11,1,True
002417,深南退,OK,2023-07-10,2023-07-07,3,True
002433,太安退,OK,2024-07-05,2024-07-04,1,True
002435,ST长康,OK,2024-08-15,2024-07-01,45,True
002699,*ST美盛,OK,2024-06-05,2024-04-25,41,True
002447,晨鑫退,OK,2022-06-27,2022-06-24,3,True
002464,众应退,OK,2022-06-28,2022-06-27,1,True
002473,圣莱退,OK,2022-06-22,2022-06-21,1,True
002477,雏鹰退,OK,2019-10-16,2019-10-15,1,True
002499,科林退,OK,2023-04-18,2023-04-17,1,True
002502,ST鼎龙,OK,2024-09-05,2024-07-16,51,True
002505,鹏都农牧,OK,2024-08-30,2024-07-02,59,True
002509,天茂退,OK,2020-07-20,2020-07-17,3,True
002604,龙力退,OK,2020-07-15,2020-07-14,1,True
002610,ST爱康,OK,2024-08-12,2024-06-18,55,True
002618,丹邦退,OK,2022-06-22,2022-06-21,1,True
002619,*ST艾格,OK,2022-04-28,2022-03-31,28,True
002621,*ST美吉,OK,2024-08-05,2024-06-13,53,True
002665,ST航高,OK,2024-08-26,2024-06-27,60,True
002680,长生退,OK,2019-11-27,2019-11-26,1,True
002450,康得退,OK,2021-05-31,2021-05-28,3,True
688555,退市泽达,OK,2023-07-07,2023-06-30,7,True
